Carrera,Codigo,Nombre,Creditos,Horarios,Requisitos,Correquisitos,TieneChoque,PuedeMatricular
"Ingeniería en Computadores","CI0205","prueba avanzada inglés",0,"No hay","No hay","No hay",NO,SI
"Ingeniería en Computadores","MA0101","matemática general",2,"P1-G1=MIE[18:00-20:50];VIE[18:00-19:50] | P1-G2=MIE[07:30-10:20];VIE[07:30-09:20] | P1-G3=MIE[16:00-18:50];VIE[16:00-17:50] | P2-G1=MIE[15:00-17:50];VIE[15:00-16:50] | P1-G4=MAR[17:00-19:50];JUE[17:00-18:50] | P1-G5=MIE[17:00-19:50];VIE[17:00-18:50] | P1-G6=MIE[13:00-15:50];VIE[13:00-14:50] | P1-G7=MAR[09:30-11:20];JUE[09:30-12:20] | P1-G8=MAR[15:00-17:50];JUE[15:00-16:50] | P1-G9=MAR[18:00-20:50];JUE[18:00-19:50] | P1-G10=MIE[09:30-11:20];VIE[09:30-12:20] | P1-G11=MIE[13:00-14:50];VIE[13:00-15:50] | P2-G2=MAR[13:00-15:50];JUE[13:00-14:50] | P2-G3=MAR[18:00-20:50];JUE[18:00-19:50] | P1-G12=MIE[09:30-12:20];VIE[09:30-11:20] | P1-G13=MIE[13:00-14:50];VIE[13:00-15:50] | P2-G4=MIE[09:30-12:20];VIE[09:30-11:20] | P1-G14=MAR[09:00-11:50];JUE[09:00-10:50] | P2-G5=MAR[07:00-09:50];JUE[07:00-08:50] | P1-G15=MIE[16:00-17:50];VIE[15:00-17:50] | P1-G16=MAR[13:00-15:50];JUE[13:00-14:50] | P2-G6=MAR[15:00-16:50];JUE[15:00-17:50] | P1-G17=MAR[07:30-10:20];JUE[07:30-09:20] | P1-G18=MAR[09:30-12:20];JUE[09:30-11:20] | P2-G7=MAR[09:30-12:20];JUE[10:30-12:20] | P1-G19=MAR[13:00-14:50];JUE[13:00-15:50] | P1-G20=MAR[09:30-12:20];JUE[10:30-12:20] | P1-G21=MAR[17:00-18:50];JUE[17:00-19:50] | P1-G22=MAR[07:00-09:50];JUE[07:00-08:50] | P2-G8=MIE[16:00-18:50];VIE[17:00-18:50] | P1-G23=MIE[07:30-09:20];VIE[07:30-10:20] | P2-G9=MIE[13:00-15:50];VIE[13:00-14:50] | P1-G24=MAR[16:00-17:50];JUE[15:00-17:50] | P2-G10=MAR[16:00-18:50];JUE[16:00-17:50] | P1-G25=MAR[07:30-09:20];JUE[07:30-10:20] | P1-G26=MAR[16:00-17:50];JUE[15:00-17:50] | P2-G11=MIE[07:30-09:20];VIE[07:30-10:20] | P1-G27=SAB[07:30-12:20] | P2-G12=SAB[07:30-12:20] | P1-G28=MAR[07:30-09:20];JUE[07:30-10:20] | P2-G13=MAR[07:30-10:20];JUE[07:30-09:20] | P1-G29=MIE[09:30-12:20];VIE[10:30-12:20] | P2-G14=MAR[09:30-12:20];JUE[09:30-11:20]","No hay","No hay",SI,SI
"Ingeniería en Computadores","CE1101","introducción a la programación",3,"P1-G1=MIE[07:30-09:20];VIE[07:30-09:20] | P1-G2=MIE[15:00-16:50];VIE[15:00-16:50] | P1-G3=MIE[15:00-16:50];VIE[15:00-16:50] | P1-G4=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G5=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G1=MAR[07:30-09:20];JUE[07:30-09:20] | P2-G2=MAR[09:30-11:20];JUE[09:30-11:20]","No hay","No hay",SI,SI
"Ingeniería en Computadores","CE1104","fundamentos de sistemas computacionales",3,"P1-G1=MIE[09:30-11:20];VIE[09:30-11:20] | P1-G2=MAR[09:30-11:20];JUE[09:30-11:20] | P1-G3=MAR[15:00-16:50];JUE[15:00-16:50] | P1-G4=MIE[17:00-18:50];VIE[17:00-18:50] | P1-G5=MAR[07:30-09:20];JUE[07:30-09:20] | P2-G1=MAR[07:30-09:20];JUE[07:30-09:20]","No hay","CE1101",SI,SI
"Ingeniería en Computadores","MA1102","cálculo diferencial e integral",4,"P1-G1=MIE[07:30-10:20];VIE[07:30-09:20] | P1-G2=MAR[09:30-12:20];JUE[10:30-12:20] | P1-G3=MIE[13:00-15:50];VIE[13:00-14:50] | P1-G4=MAR[10:00-11:50];JUE[09:00-11:50] | P2-G1=MAR[07:30-09:20];JUE[07:30-10:20] | P2-G2=MAR[17:00-19:50];JUE[17:00-18:50] | P1-G5=MIE[16:00-18:50];VIE[16:00-17:50] | P2-G3=MAR[18:00-20:50];JUE[18:00-19:50] | P2-G4=MIE[16:00-18:50];VIE[16:00-17:50] | P1-G6=MAR[07:30-09:20];JUE[07:30-10:20] | P1-G7=MAR[17:00-19:50];JUE[17:00-18:50] | P2-G5=MIE[07:30-10:20];VIE[07:30-09:20] | P2-G6=SAB[07:30-12:20] | P2-G7=MIE[18:00-20:50];VIE[18:00-19:50] | P1-G8=MAR[09:30-11:20];JUE[09:30-12:20] | P1-G9=SAB[07:30-12:20] | P2-G8=MAR[09:30-11:20];JUE[09:30-12:20] | P2-G9=MAR[16:00-18:50];JUE[16:00-17:50] | P1-G10=MAR[15:00-16:50];JUE[15:00-17:50] | P1-G11=MIE[17:00-19:50];VIE[17:00-18:50] | P2-G10=MIE[17:00-19:50];VIE[17:00-18:50] | P1-G12=MAR[16:00-18:50];JUE[16:00-17:50] | P2-G11=MIE[09:30-12:20];VIE[10:30-12:20] | P2-G12=MIE[15:00-17:50];VIE[15:00-16:50] | P2-G13=MIE[13:00-15:50];VIE[13:00-14:50] | P1-G13=MIE[07:30-09:20];VIE[07:30-10:20] | P2-G14=MAR[09:30-12:20];JUE[10:30-12:20] | P2-G15=MIE[07:30-09:20];VIE[07:30-10:20] | P1-G14=MAR[13:00-15:50];JUE[13:00-14:50] | P1-G15=MIE[15:00-17:50];VIE[15:00-16:50] | P2-G16=MAR[15:00-16:50];JUE[15:00-17:50] | P2-G17=MIE[10:30-12:20];VIE[09:30-12:20] | P1-G16=MAR[07:30-10:20];JUE[07:30-09:20] | P2-G18=MAR[07:30-10:20];JUE[07:30-09:20] | P2-G19=MAR[15:00-17:50];JUE[16:00-17:50] | P1-G17=MAR[18:00-20:50];JUE[18:00-19:50] | P2-G20=MAR[10:00-11:50];JUE[09:00-11:50] | P2-G21=MAR[13:00-15:50];JUE[13:00-14:50] | P1-G18=MIE[09:30-12:20];VIE[10:30-12:20] | P2-G22=MAR[13:00-15:50];JUE[13:00-14:50] | P1-G19=MAR[15:00-16:50];JUE[15:00-17:30] | P1-G20=MIE[09:30-12:20];VIE[09:30-11:20] | P2-G23=MIE[09:30-12:20];VIE[09:30-11:20]","MA0101","No hay",SI,SI
"Ingeniería en Computadores","MA1403","matemática discreta",4,"P1-G1=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G2=MAR[09:30-11:20];JUE[09:30-11:20] | P1-G3=MIE[09:00-10:50];VIE[09:00-10:50] | P2-G1=MIE[07:30-09:20];VIE[07:30-09:20] | P1-G4=MIE[18:00-19:50];VIE[18:00-19:50] | P1-G5=MAR[13:00-14:50];JUE[13:00-14:50] | P1-G6=MIE[07:30-09:20];VIE[07:30-09:20] | P2-G2=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G3=MAR[15:00-16:50];JUE[15:00-16:50] | P1-G7=MAR[18:00-19:50];JUE[18:00-19:50] | P1-G8=MAR[15:00-16:50] | P1-G9=MIE[16:00-17:50];VIE[16:00-17:50] | P1-G10=MAR[15:00-16:50];JUE[15:00-16:50] | P1-G11=MAR[10:00-11:50];JUE[10:00-11:50] | P1-G12=MAR[16:00-17:50];JUE[16:00-17:50] | P2-G4=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G5=MIE[09:00-10:50];VIE[09:00-10:50] | P1-G13=MIE[15:00-16:50];VIE[15:00-16:50] | P1-G14=MIE[13:00-14:50];VIE[13:00-14:50] | P2-G6=MIE[15:00-16:50];VIE[15:00-16:50] | P1-G15=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G7=MAR[18:00-19:50];JUE[18:00-19:50]","No hay","No hay",SI,SI
"Ingeniería en Computadores","QU1102","laboratorio de química básica i",1,"P1-G1=MAR[07:30-09:20] | P1-G2=MAR[15:00-16:50] | P1-G3=MAR[07:30-09:20] | P1-G4=MAR[13:00-14:50] | P1-G5=VIE[10:00-11:50] | P1-G6=MAR[09:30-11:20] | P1-G7=MAR[09:30-11:20] | P1-G8=JUE[13:00-14:50] | P1-G9=MAR[13:00-14:50] | P1-G10=MAR[15:00-16:50] | P1-G11=JUE[09:30-11:20] | P1-G12=VIE[15:00-16:50] | P2-G1=MAR[09:30-11:20] | P2-G2=MAR[13:00-14:50] | P2-G3=JUE[13:00-14:50] | P1-G13=MIE[15:00-16:50] | P1-G14=MIE[17:00-18:50] | P2-G4=MIE[15:00-16:50] | P1-G15=MAR[17:00-18:50] | P2-G5=VIE[13:00-14:50] | P1-G16=MIE[13:00-14:50] | P1-G17=MIE[15:00-16:50] | P1-G18=JUE[07:30-09:20] | P1-G19=JUE[15:00-16:50] | P2-G6=MAR[15:00-16:50] | P1-G20=MIE[07:30-09:20] | P1-G21=MIE[09:30-11:20] | P1-G22=JUE[07:30-09:20] | P1-G23=VIE[07:30-09:20] | P1-G24=VIE[09:30-11:20] | P2-G7=MIE[07:30-09:20] | P2-G8=MIE[09:30-11:20] | P2-G9=MIE[13:00-14:50] | P1-G25=MIE[07:30-09:20] | P1-G26=VIE[13:00-14:50] | P2-G10=JUE[07:30-09:20] | P2-G11=JUE[09:30-11:20] | P2-G12=MAR[07:30-09:20] | P1-G27=MIE[09:30-11:20] | P1-G28=VIE[08:00-09:50] | P1-G29=VIE[13:00-14:50] | P2-G13=VIE[07:30-09:20] | P1-G30=JUE[17:00-18:50]","No hay","QU1106",SI,SI
"Ingeniería en Computadores","QU1106","química básica i",3,"P1-G1=MIE[13:00-14:50];VIE[13:00-14:50] | P1-G2=MIE[09:00-10:50];VIE[15:00-16:50] | P1-G3=MIE[09:30-11:20];VIE[09:30-11:20] | P1-G4=MIE[13:00-14:50];VIE[13:00-14:50] | P1-G5=MAR[07:30-09:20];JUE[07:30-09:20] | P2-G1=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G6=MAR[09:30-11:20];JUE[09:30-11:20] | P1-G7=MAR[17:00-18:50];JUE[17:00-18:50] | P1-G8=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G9=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G2=MAR[17:00-20:50] | P1-G10=MIE[15:00-16:50];VIE[15:00-16:50] | P2-G3=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G4=MIE[09:30-11:20];VIE[09:30-11:20] | P1-G11=MAR[15:00-16:50];JUE[15:00-16:50] | P2-G5=MAR[15:00-16:50];JUE[15:00-16:50] | P1-G12=MAR[13:00-14:50];JUE[13:00-14:50] | P1-G13=MIE[07:30-09:20];VIE[07:30-09:20] | P2-G6=MAR[13:00-14:50];JUE[13:00-14:50] | P1-G14=MAR[15:00-16:50];JUE[15:00-16:50] | P2-G7=MIE[13:00-14:50];VIE[13:00-14:50]","No hay","QU1102",SI,SI
"Ingeniería en Computadores","SE1101","Artes dramáticas",0,"P1-G1=LUN[09:30-11:20] | P1-G2=VIE[17:30-19:10] | P1-G3=MAR[17:00-18:50];MIE[15:00-16:50] | P2-G1=LUN[09:30-11:20] | P2-G2=VIE[17:30-19:10] | P2-G3=MAR[17:00-18:50];MIE[15:00-16:50]","No hay","No hay",SI,SI
"Ingeniería en Computadores","SE1102","Acción social",0,"P1-G1=LUN[18:00-19:50];MIE[13:00-14:50] | P1-G2=JUE[09:30-11:20] | P1-G3=LUN[09:30-11:20];MAR[07:30-09:20];MIE[07:30-09:20];MIE[09:30-11:20] | P2-G1=LUN[18:00-19:50];MAR[09:30-11:20] | P2-G2=JUE[09:30-11:20] | P2-G3=LUN[07:30-09:20];MAR[07:30-09:20];MIE[07:30-09:20];MIE[09:30-11:20]","No hay","No hay",SI,SI
"Ingeniería en Computadores","SE1103","Danza",0,"P1-G1=JUE[09:30-11:20] | P1-G2=MIE[15:00-16:50] | P1-G3=MAR[17:30-19:10] | P2-G1=JUE[09:30-11:20] | P2-G2=MAR[17:30-19:10]","No hay","No hay",SI,SI
"Ingeniería en Computadores","SE1201","Atletismo",0,"P1-G1=MIE[07:30-09:20] | P1-G2=MIE[09:30-11:20] | P2-G1=MAR[07:30-09:20];MIE[07:30-09:20]","No hay","No hay",SI,SI
"Ingeniería en Computadores","SE1204","Natación",0,"P1-G1=MIE[09:30-11:20] | P1-G2=LUN[07:30-09:20];LUN[09:30-11:20];MIE[07:30-09:20] | P1-G3=JUE[17:00-18:50] | P1-G4=MAR[17:00-18:50];MIE[13:00-14:50];MIE[15:00-16:50];JUE[09:30-11:20] | P2-G1=MIE[09:30-11:20] | P2-G2=LUN[07:30-09:20];LUN[09:30-11:20];MIE[07:30-09:20] | P2-G3=JUE[17:00-18:50] | P2-G4=MAR[17:00-18:50];MIE[13:00-14:50];MIE[15:00-16:50];JUE[09:30-11:20]","No hay","No hay",SI,SI
"Ingeniería en Computadores","SE1107","Apreciación de cine",0,"P1-G1=JUE[13:00-14:50] | P2-G1=MAR[15:00-16:50] | P2-G2=VIE[13:00-14:50];VIE[15:00-16:50]","No hay","No hay",SI,SI
"Ingeniería en Computadores","SE1206","Acondicionamiento físico",0,"P1-G1=SAB[09:30-11:20] | P1-G2=MAR[09:30-11:20] | P1-G3=VIE[07:30-09:20] | P1-G4=MIE[09:30-11:20] | P2-G1=MAR[09:30-11:20] | P2-G2=MIE[09:30-11:20] | P2-G3=MAR[09:30-11:20] | P2-G4=VIE[13:00-14:50] | P2-G5=VIE[07:30-09:20];LUN[07:30-09:20] | P2-G6=MIE[15:00-16:50]","No hay","No hay",SI,SI
"Ingeniería en Computadores","SE1209","Béisbol-softbol",0,"P1-G1=LUN[07:30-09:20];MIE[07:30-09:20] | P1-G2=MAR[09:30-11:20];VIE[09:30-11:20] | P2-G1=LUN[07:30-09:20];MIE[07:30-09:20] | P2-G2=MAR[09:30-11:20];VIE[09:30-11:20]","No hay","No hay",SI,SI
"Ingeniería en Computadores","SE1205","Juegos y deportes en conjunto",0,"P1-G1=MIE[09:00-10:50] | P1-G2=MAR[07:30-09:20] | P1-G3=MAR[09:30-11:20] | P1-G4=LUN[09:30-11:20];JUE[07:30-09:20] | P1-G5=JUE[15:00-16:50];JUE[17:00-18:50] | P1-G6=JUE[09:30-11:20] | P1-G7=MAR[09:30-11:20];JUE[15:00-16:50] | P2-G1=MIE[09:30-11:20] | P2-G2=MIE[09:00-10:50] | P2-G3=MAR[07:30-09:20] | P2-G4=MAR[13:00-14:50] | P2-G5=LUN[09:30-11:20];MIE[07:30-09:20];JUE[07:30-09:20] | P2-G6=JUE[09:30-11:20] | P2-G7=JUE[09:30-11:20]","No hay","No hay",SI,SI
"Ingeniería en Computadores","CE1103","algoritmos y estructuras de datos i",4,"P2-G1=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G2=MAR[15:00-16:50];JUE[15:00-16:50] | P2-G3=MIE[17:00-18:50];VIE[17:00-18:50] | P1-G1=MAR[17:00-18:50];JUE[17:00-18:50]","CE1101;CE1104;MA1403","No hay",SI,SI
"Ingeniería en Computadores","CE1105","principios de modelado en ingeniería",3,"P2-G1=MAR[19:00-20:50];JUE[19:00-20:50] | P1-G1=MAR[17:00-18:50];JUE[17:00-18:50] | P2-G2=MAR[17:00-18:50];JUE[17:00-18:50] | P2-G3=MIE[17:00-18:50];VIE[17:00-18:50]","CE1104","No hay",SI,SI
"Ingeniería en Computadores","CI1407","habilidades de comunicación en ingeniería",2,"P1-G1=MAR[17:00-19:50];JUE[13:00-15:50] | P1-G2=LUN[09:30-12:20];MIE[07:30-10:20] | P2-G1=LUN[09:30-12:20] | P2-G2=JUE[13:00-15:50] | P2-G3=MAR[13:00-15:50] | P2-G4=JUE[13:00-15:50];VIE[07:30-10:20]","No hay","No hay",SI,SI
"Ingeniería en Computadores","CS1502","introducción a la técnica ciencia y tecnología",1,"P1-G1=MIE[09:30-11:20] | P1-G2=LUN[18:00-19:50] | P1-G3=MIE[15:00-16:50] | P1-G4=MAR[15:00-16:50] | P2-G1=MIE[09:30-11:20] | P2-G2=MIE[17:00-18:50] | P2-G3=MAR[15:00-16:50] | P1-G5=LUN[09:30-11:20] | P1-G6=MIE[09:30-11:20] | P1-G7=VIE[13:00-14:50] | P1-G8=LUN[07:30-09:20] | P1-G9=VIE[13:00-14:50] | P2-G4=MIE[09:30-11:20] | P1-G10=MAR[09:30-11:20] | P1-G11=MAR[13:00-14:50] | P1-G12=MAR[16:00-17:50] | P1-G13=VIE[09:30-11:20] | P1-G14=JUE[13:00-14:50] | P1-G15=JUE[09:30-11:20] | P1-G16=JUE[13:00-14:50] | P2-G5=JUE[09:30-11:20] | P1-G17=JUE[07:30-09:20] | P1-G18=VIE[07:30-09:20]","No hay","No hay",SI,SI
"Ingeniería en Computadores","FI1101","física general i",3,"P1-G1=MIE[13:00-14:50];VIE[13:00-14:50] | P2-G1=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G2=MIE[07:30-09:20];VIE[07:30-09:20] | P2-G3=MIE[10:00-11:50];VIE[10:00-11:50] | P1-G2=MAR[15:00-16:50];JUE[15:00-16:50] | P1-G3=MAR[17:00-18:50];JUE[17:00-18:50] | P2-G4=MAR[15:00-16:50];JUE[15:00-16:50] | P2-G5=MAR[17:00-18:50];JUE[17:00-18:50] | P1-G4=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G6=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G7=MAR[13:00-14:50] | P1-G5=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G6=MIE[08:00-09:50];VIE[08:00-09:50] | P2-G8=MIE[08:00-09:50];VIE[08:00-09:50] | P1-G7=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G9=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G8=MIE[07:30-09:20];VIE[07:30-09:20] | P2-G10=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G9=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G11=MAR[15:00-16:50] | P1-G10=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G12=MIE[15:00-16:50];VIE[15:00-16:50] | P1-G11=MIE[15:00-16:50];VIE[15:00-16:50] | P1-G12=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G13=MIE[13:00-14:50];VIE[13:00-14:50] | P2-G14=MIE[17:00-18:50];VIE[17:00-18:50] | P1-G13=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G15=MAR[13:00-14:50];JUE[13:00-14:50]","MA1102","No hay",SI,NO
"Ingeniería en Computadores","FI1201","laboratorio física general i",1,"P2-G1=JUE[07:30-09:20] | P2-G2=JUE[17:00-18:50] | P2-G3=MIE[15:00-16:50] | P2-G4=MIE[17:00-18:50] | P2-G5=MAR[13:00-14:50] | P2-G6=MAR[15:00-16:50] | P2-G7=MIE[13:00-14:50] | P2-G8=MIE[13:00-14:50] | P2-G9=MIE[17:00-18:50] | P2-G10=VIE[13:00-14:50] | P1-G1=MAR[15:00-16:50] | P2-G11=MIE[09:30-11:20] | P1-G2=MAR[09:30-11:20] | P1-G3=VIE[09:30-11:20] | P2-G12=MAR[09:30-11:20] | P1-G4=MIE[13:00-14:50] | P1-G5=MAR[13:00-14:50] | P1-G6=MIE[15:00-16:50] | P1-G7=JUE[13:00-14:50] | P1-G8=JUE[15:00-16:50] | P2-G13=JUE[09:30-11:20] | P1-G9=MIE[17:00-18:50] | P2-G14=JUE[15:00-16:50] | P2-G15=VIE[07:30-09:20] | P2-G16=VIE[09:30-11:20] | P2-G17=JUE[13:00-14:50] | P1-G10=JUE[09:30-11:20] | P1-G11=MAR[07:30-09:20] | P2-G18=MIE[07:30-09:20] | P1-G12=MAR[17:00-18:50] | P2-G19=MAR[17:00-18:50] | P1-G13=VIE[07:30-09:20] | P2-G20=MAR[07:30-09:20] | P2-G21=JUE[10:00-11:50] | P1-G14=MIE[09:30-11:20]","No hay","FI1101",SI,NO
"Ingeniería en Computadores","MA1103","cálculo y álgebra lineal",4,"P2-G1=MIE[07:30-09:20];VIE[07:30-09:20] | P1-G1=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G2=MAR[18:00-19:50];JUE[18:00-19:50] | P2-G2=MAR[18:00-19:50];JUE[18:00-19:50] | P1-G3=MIE[16:00-17:50];VIE[16:00-17:50] | P1-G4=MAR[16:00-17:50];JUE[16:00-17:50] | P1-G5=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G3=MAR[16:00-17:50];JUE[16:00-17:50] | P2-G4=SAB[07:30-11:20] | P2-G5=MIE[15:00-16:50];VIE[15:00-16:50] | P2-G6=MIE[17:00-18:50];VIE[17:00-18:50] | P2-G7=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G8=MAR[07:30-09:20];JUE[07:30-09:20] | P2-G9=MAR[13:00-14:50];JUE[13:00-14:50] | P1-G6=MAR[15:00-16:50];JUE[15:00-16:50] | P2-G10=MAR[07:30-09:20];JUE[07:30-09:20] | P2-G11=MAR[09:30-11:20];JUE[09:30-11:20] | P1-G7=MAR[13:00-14:50];JUE[13:00-14:50] | P1-G8=MIE[13:00-14:50];VIE[13:00-14:50] | P2-G12=MAR[15:00-16:50];JUE[15:00-16:50] | P2-G13=MIE[13:00-14:50];VIE[13:00-14:50] | P1-G9=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G14=MAR[17:00-18:50];JUE[17:00-18:50] | P2-G15=MIE[09:30-11:20];VIE[09:30-11:20] | P1-G10=SAB[07:30-11:20] | P2-G16=JUE[07:30-11:20] | P1-G11=MIE[15:00-16:50];VIE[15:00-16:50] | P2-G17=MIE[18:00-19:50];VIE[18:00-19:50] | P1-G12=MIE[18:00-19:50];VIE[18:00-19:50] | P1-G13=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G18=MIE[16:00-17:50];VIE[16:00-17:50] | P1-G14=MIE[07:30-09:20];VIE[07:30-09:20]","MA1102","No hay",SI,NO
